introduction,group,brand,model_name,length,width,height,curb_weight,total_max_power_hp,price
2015,RNMA Alliance,Renault,Renault Kadjar,4449,1836,1607,1281,130,26520
2005,RNMA Alliance,Renault,Renault Kangoo,4035,1672,1825,1010,75,14760
2008,RNMA Alliance,Renault,Renault Koleos,4520,1855,1705,1539,170,29900
2007,RNMA Alliance,Renault,Renault Laguna,4695,1811,1445,1330,110,25990
2011,RNMA Alliance,Renault,Renault Master,5048,2070,2307,1962,100,50200
2005,RNMA Alliance,Renault,Renault Megane,4209,1777,1457,1140,82,18295
2005,RNMA Alliance,Renault,Renault Modus,3792,1695,1589,1055,65,13895
2001,RNMA Alliance,Renault,Renault Scenic,4169,1698,1675,1210,95,19595
2020,RNMA Alliance,Renault,Renault Talisman,4865,1869,1465,1388,140,32830
2011,RNMA Alliance,Renault,Renault Trafic,4782,1904,1959,1785,90,19340
2012,RNMA Alliance,Renault,Renault Twizy,2338,1396,1454,474,16,7790
2005,RNMA Alliance,Renault,Renault Vel,4860,1860,1577,1615,170,41285
2010,RNMA Alliance,Renault,Renault Wind,3833,1689,1381,1106,100,20990
2013,RNMA Alliance,Renault,Renault Zoe,4084,1730,1562,1403,88,20990
2015,Volkswagen Group,Seat,Seat Alhambra,4854,1904,1720,1655,150,42930
2009,Volkswagen Group,Seat,Seat Altea,4280,1768,1568,1235,85,18295
2018,Volkswagen Group,Seat,Seat Arona,4138,1780,1552,1080,95,19865
2016,Volkswagen Group,Seat,Seat Ateca,4339,1807,1601,1213,115,27825
2006,Volkswagen Group,Seat,Seat Cordoba,4280,1698,1441,1041,70,11495
2018,Volkswagen Group,Seat,Seat Cupra,4376,1841,1615,1515,300,62277
2009,Volkswagen Group,Seat,Seat Exeo,4661,1772,1430,1285,102,24295
2017,Volkswagen Group,Seat,Seat Ibiza,4059,1780,1444,991,75,15425
2017,Volkswagen Group,Seat,Seat Leon,4282,1816,1459,1097,115,23025
2012,Volkswagen Group,Seat,Seat Mii,3557,1641,1478,840,60,8700
2019,Volkswagen Group,Seat,Seat Tarraco,4735,1839,1674,1476,150,36580
2013,Volkswagen Group,Seat,Seat Toledo,4482,1706,1461,1035,75,14950
2012,Volkswagen Group,Skoda,Skoda Citigo,3563,1641,1478,829,60,9150
2020,Volkswagen Group,Skoda,Skoda Enyaq,4649,1879,1616,1923,180,38965
2015,Volkswagen Group,Skoda,Skoda Fabia,3992,1732,1467,980,60,14550
2019,Volkswagen Group,Skoda,Skoda Kamiq,4241,1793,1553,1121,95,21955
2018,Volkswagen Group,Skoda,Skoda Karoq,4382,1841,1603,1240,115,29155
2017,Volkswagen Group,Skoda,Skoda Kodiaq,4697,1882,1655,1427,125,30365
2017,Volkswagen Group,Skoda,Skoda Octavia,4659,1814,1461,1125,115,22400
2013,Volkswagen Group,Skoda,Skoda Rapid,4483,1706,1461,1035,85,15890
2006,Volkswagen Group,Skoda,Skoda Roomster,4205,1684,1607,1125,65,16375
2019,Volkswagen Group,Skoda,Skoda Scala,4362,1793,1471,1100,95,20855
2008,Volkswagen Group,Skoda,Skoda Superb,4838,1817,1462,1382,125,27290
2014,Volkswagen Group,Skoda,Skoda Yeti,4222,1793,1691,1240,105,23230
2020,Daimler AG,Smart,Smart ,3700,1660,1605,835,83,16080
2001,Daimler AG,Smart,Smart city-coupe,2500,1537,1529,730,55,13560
2002,Daimler AG,Smart,Smart crossblade,2622,1618,1508,740,70,32942
2005,Daimler AG,Smart,Smart forfour,3752,1684,1450,940,64,10490
2015,Daimler AG,Smart,Smart fortwo,2695,1663,1555,790,71,11126
2003,Daimler AG,Smart,Smart roadster,3427,1615,1192,790,62,18900
2003,Daimler AG,Smart,Smart roadster-coupe,3427,1615,1192,810,82,24350
2006,Independent,Subaru,Subaru B9,4857,1878,1686,1865,245,57240
2012,Independent,Subaru,Subaru BRZ,4240,1775,1285,1177,200,38995
2004,Independent,Subaru,Subaru G3X,3770,1605,1565,980,93,17515
2006,Independent,Subaru,Subaru Impreza,4465,1740,1440,1255,105,21130
2009,Independent,Subaru,Subaru Justy,3610,1665,1550,890,70,10495
2015,Independent,Subaru,Subaru Levorg,4690,1780,1485,1506,170,40994
2003,Independent,Subaru,Subaru Outback,4730,1770,1545,1405,165,35080
2011,Independent,Subaru,Subaru Trezia,3995,1695,1595,1045,99,17775
2008,Independent,Subaru,Subaru Tribeca,4865,1880,1720,1881,258,72995
2014,Independent,Subaru,Subaru WRX,4595,1795,1475,1482,300,96194
2013,Independent,Subaru,Subaru XV,4450,1780,1570,1325,114,26495
2020,Suzuki,Suzuki,Suzuki Across,4635,1855,1690,1915,306,63900
2016,Suzuki,Suzuki,Suzuki Baleno,3995,1745,1470,840,90,14705
2015,Suzuki,Suzuki,Suzuki Celerio,3600,1600,1530,790,68,10244
2008,Suzuki,Suzuki,Suzuki Grand,4035,1810,1695,1380,106,22816
2016,Suzuki,Suzuki,Suzuki Ignis,3700,1660,1595,785,90,15144
2010,Suzuki,Suzuki,Suzuki Kizashi,4650,1820,1470,1395,178,29999
2001,Suzuki,Suzuki,Suzuki Liana,4230,1690,1550,1115,90,14999
2016,Suzuki,Suzuki,Suzuki S-Cross,4300,1785,1580,1065,112,22044
2006,Suzuki,Suzuki,Suzuki SX4,4100,1730,1565,1105,99,14525
2008,Suzuki,Suzuki,Suzuki Splash,3715,1680,1590,950,65,9299
2018,Suzuki,Suzuki,Suzuki Vitara,4170,1775,1595,1060,112,20744
2006,Suzuki,Suzuki,Suzuki Wagon,3540,1600,1660,940,60,7929
2020,Independent,Tesla,Tesla Model,4694,1849,1443,1584,325,48980
2010,Independent,Tesla,Tesla Roadster,3945,1728,1121,1240,248,99960
2009,Toyota,Toyota,Toyota Auris,4220,1760,1515,1195,100,16990
2003,Toyota,Toyota,Toyota Avensis,4630,1760,1480,1220,110,23550
2005,Toyota,Toyota,Toyota Aygo,3410,1615,1465,775,68,9390
2020,Toyota,Toyota,Toyota C-HR,4390,1795,1565,1350,116,27450
2019,Toyota,Toyota,Toyota Corolla,4370,1790,1435,1215,115,24710
2012,Toyota,Toyota,Toyota GT86,4240,1775,1285,1205,200,39990
2016,Toyota,Toyota,Toyota Hilux,5330,1855,1815,2045,150,61395
2002,Toyota,Toyota,Toyota Land,4890,1940,1890,2245,238,93300
2017,Toyota,Toyota,Toyota Mirai,4890,1815,1535,1825,154,80160
2003,Toyota,Toyota,Toyota Previa,4780,1790,1770,1540,156,36550
2015,Toyota,Toyota,Toyota Prius+,4645,1775,1575,1475,136,31980
2020,Toyota,Toyota,Toyota Proace,4403,1848,1796,1284,110,13395
2009,Toyota,Toyota,Toyota Urban,3930,1725,1525,1095,100,17805
2007,Toyota,Toyota,Toyota Verso,4360,1770,1620,1320,110,22890
2011,Toyota,Toyota,Toyota Verso-S,3990,1695,1595,1055,99,18995
2005,Toyota,Toyota,Toyota Yaris,3750,1695,1530,955,69,11640
2010,Toyota,Toyota,Toyota iQ,2985,1680,1500,820,68,12150
2011,Volkswagen Group,Volkswagen,Volkswagen Amarok,5254,1944,1834,1744,122,22700
2017,Volkswagen Group,Volkswagen,Volkswagen Arteon,4862,1871,1427,1404,150,39235
2011,Volkswagen Group,Volkswagen,Volkswagen Beetle,4278,1808,1486,1174,105,21390
2012,Volkswagen Group,Volkswagen,Volkswagen CC,4802,1855,1417,1405,160,40050
2020,Volkswagen Group,Volkswagen,Volkswagen Caddy,4500,1855,1856,1445,102,14700
2011,Volkswagen Group,Volkswagen,Volkswagen Crafter,5240,1993,2415,1804,109,25755
2010,Volkswagen Group,Volkswagen,Volkswagen CrossGolf,4221,1776,1604,1294,105,30350
2006,Volkswagen Group,Volkswagen,Volkswagen CrossPolo,3925,1671,1499,1057,65,19795
2010,Volkswagen Group,Volkswagen,Volkswagen CrossTouran,4406,1799,1685,1467,140,36990
2011,Volkswagen Group,Volkswagen,Volkswagen Eos,4423,1791,1444,1405,122,34750
2005,Volkswagen Group,Volkswagen,Volkswagen Fox,3828,1660,1544,973,55,9995
2017,Volkswagen Group,Volkswagen,Volkswagen Golf,4258,1799,1452,1127,85,23140
2020,Volkswagen Group,Volkswagen,Volkswagen ID3,4261,1809,1568,1694,204,36880
2020,Volkswagen Group,Volkswagen,Volkswagen ID4,4585,1852,1631,2024,204,46205
2011,Volkswagen Group,Volkswagen,Volkswagen Jetta,4644,1778,1482,1205,105,22725
2003,Volkswagen Group,Volkswagen,Volkswagen Multivan,4890,1904,1944,2084,115,45125
2003,Volkswagen Group,Volkswagen,Volkswagen New,4081,1724,1498,1134,75,21150
2002,Volkswagen Group,Volkswagen,Volkswagen Phaeton,5055,1903,1450,1970,241,83615
2010,Volkswagen Group,Volkswagen,Volkswagen Sharan,4854,1904,1738,1623,150,40890
2018,Volkswagen Group,Volkswagen,Volkswagen T-Cross,4108,1760,1584,1145,95,22670
2017,Volkswagen Group,Volkswagen,Volkswagen T-Roc,4234,1819,1573,1170,116,26080
2011,Volkswagen Group,Volkswagen,Volkswagen Tiguan,4426,1809,1703,1401,122,30390
2019,Volkswagen Group,Volkswagen,Volkswagen Touareg,4878,1984,1717,1920,340,91470
2019,Volkswagen Group,Volkswagen,Volkswagen Touran,4527,1829,1659,1360,115,33155
2019,Volkswagen Group,Volkswagen,Volkswagen Transporter,4904,1904,1990,1764,90,18550
2020,Volkswagen Group,Volkswagen,Volkswagen Up,3600,1641,1504,880,60,15105
2011,Volkswagen Group,Volkswagen,Volkswagen Up!,3540,1641,1489,829,60,8490
2014,Volkswagen Group,Volkswagen,Volkswagen XL1,3888,1665,1153,795,69,112866
2017,Volkswagen Group,Volkswagen,Volkswagen e-Golf,4270,1799,1482,1515,136,39250
2019,Volkswagen Group,Volkswagen,Volkswagen e-Up,3600,1645,1492,1135,83,22835
2014,Volkswagen Group,Volkswagen,Volkswagen e-Up!,3540,1645,1489,1114,82,25925
2006,Geely,Volvo,Volvo C30,4252,1782,1447,1178,100,23650
2007,Geely,Volvo,Volvo S40,4476,1770,1454,1215,100,25995
2004,Geely,Volvo,Volvo S60,4603,1804,1428,1403,140,33495
2009,Geely,Volvo,Volvo S80,4851,1860,1492,1412,145,36995
2002,Geely,Volvo,Volvo V40,4483,1717,1413,1255,109,22635
2007,Geely,Volvo,Volvo V50,4522,1770,1457,1228,100,26995
2020,Geely,Volvo,Volvo V60,4761,1850,1433,1661,163,40873
2007,Geely,Volvo,Volvo V70,4823,1861,1540,1467,145,39895
2020,Geely,Volvo,Volvo XC40,4425,1900,1652,2150,408,58775
2010,Geely,Volvo,Volvo XC60,4628,1891,1713,1610,203,49495
2004,Geely,Volvo,Volvo XC70,4733,1860,1562,1664,210,49815
2003,Geely,Volvo,Volvo XC90,4798,1898,1743,2023,210,56115
